,Tweet,Date,Year,Month
60035,call it department of environmental security assessment,2022-06-30 23:41:13+00:00,2022,6
60036,Isnt there some oil rig they can glue themselves too,2022-06-30 23:40:50+00:00,2022,6
60037,LizardsIts all in front of us Wake up,2022-06-30 23:40:23+00:00,2022,6
60038,Baby cant you see that its a Natural disaster And the probability Natural disaster Is that its going to happen to me,2022-06-30 23:39:29+00:00,2022,6
60039,Weve been lied to for years about global warming News sources that have been caught lying over and over again should be shamed,2022-06-30 23:38:13+00:00,2022,6
60040,but it has been decades Scientists are telling us that we are destroying the planet and our insistence on doing nothing about it means we only have a few years before the effects of global warming are permanent,2022-06-30 23:37:48+00:00,2022,6
60041,In the last week weve lost a separation of church and state in our schools the ability to stop global warming and rights over own bodiesBecause of six peopleIn a country of 3295 millionDoes that sound like Democracy to you,2022-06-30 23:37:36+00:00,2022,6
60042,t you say global warming would kill us all by 2010 Sit TF Down,2022-06-30 23:36:53+00:00,2022,6
60043,Maybe US can actually pull it around and drastically adopt to global warming and address their critical issues,2022-06-30 23:36:46+00:00,2022,6
60044,1 the occurrence of some natural disaster is bc of us destroying the planet 2 the earth can much better recover from occasional natural disasters than our pollution and some nat disasters are actually beneficial 3 industry killing the earth is antihuman,2022-06-30 23:36:39+00:00,2022,6
60045,m 44 and I remember when we had global cooling then the ozone then global warming and now climate change It seems the grift changes approx every 10 yrs Surprised you havent realized that And yes the climate will continue to change as it does 4 times a year in most places,2022-06-30 23:36:04+00:00,2022,6
60046,Sanders I heard on the radio of a wind farm being built that will be powered by Natural Gas Would that be correct Also when with global warming it was said to hang out with politicians shady get it,2022-06-30 23:35:59+00:00,2022,6
60047,amp ocean plastic amp food amp water insecurity so much more than broken eggs required Ppl arent ready for the sacrifices and changes that are to come Far from it,2022-06-30 23:35:49+00:00,2022,6
60048,You and the GOP think global warming is a joke Well I guess you dont care about your childrens children which wont have an earth to live on that is safe,2022-06-30 23:35:10+00:00,2022,6
60049,s fossil fuels energy consumption amp resulting pollution global warming ozone layer damage amp depletion of resources cost to the environment extinction of wildlife amp human poverty wars over resources amp widespread misery,2022-06-30 23:34:57+00:00,2022,6
60050,So we can again have air pollution worse than China and water that catches on fire because they dont like the terns global warming and climate change SCOTUS,2022-06-30 23:33:42+00:00,2022,6
60051,WE NEED ALL THE MILLENIALS ACUSTOMED TO ACTUAL FREEDOMS TO VOTE BLUE AND QUICK BEFORE THE HELLISH storms due to global warming jack up costal cities no one has control over thier bodies and right wing white christianracist oppressive laws are pushed down our throats,2022-06-30 23:33:28+00:00,2022,6
60052,cough global warming cough,2022-06-30 23:33:03+00:00,2022,6
60053,I think accelerated global warming is prob right,2022-06-30 23:32:43+00:00,2022,6
60054,,2022-06-30 23:32:29+00:00,2022,6
60055,Hi another random thought while I was walking do you think all this concrete asphalt the buildings everywhere on the planet could be a crucial contributing factor in global warming Does everything we create have to be made a heat absorbing heat reflecting surfaces Just askin,2022-06-30 23:31:31+00:00,2022,6
60056,t even write no wonder you dont know anything about global warming,2022-06-30 23:31:25+00:00,2022,6
60057,claiming that global warming has been known about and nothing done signals clear intent is well at best its ignorant of how Congress works but Ill give you more credit and just call it bullshit,2022-06-30 23:31:21+00:00,2022,6
60058,no immediate action of stopping fossil fuels no more future generations of life on earth,2022-06-30 23:30:58+00:00,2022,6
60059,Global warming would be solved if they quit cutting trees vegetation amp move into vacant houses instead of building Hello Clean airoxygen,2022-06-30 23:30:47+00:00,2022,6
60060,like pregnancy or gun deaths doesnt just happen They all require humans to happen,2022-06-30 23:29:24+00:00,2022,6
60061,He doesnt believe that global warming is real For god sake man pull your head out of the sand,2022-06-30 23:29:04+00:00,2022,6
60062,Shut up and listen Only by planting trees we will be able to overcome global warming Its so simple,2022-06-30 23:28:52+00:00,2022,6
60063,elite who always talk about climate change global warming global cooling etc start taking the advice rhey give us maybe I will believe them Right now its do as I say not as I do Nope Im done with all of them and their grifts,2022-06-30 23:28:14+00:00,2022,6
60064,climate change because its more generic than global warming and easier to trick people I to believing it because the climate has been changing for 1000s of years Problem is for you losers its not because of what you say it is,2022-06-30 23:28:10+00:00,2022,6
60065,re saying trees prevent CO2 emissions from causing global warming As in thats the reason according to you that it isnt happening,2022-06-30 23:27:31+00:00,2022,6
60066,They can build a wall of course leave NATO put tariffs on imports but what about inflation crime prisons global warming energy pandemics pollution housing shortage and future unemployment,2022-06-30 23:27:27+00:00,2022,6
60067,m going to excuse this as just being uninformed The IoT industry definitely has the ability to has an impact on global warming Street and traffic lights can be operated off low power consumption routers no need to send techs out to diagnose problems anymore,2022-06-30 23:26:22+00:00,2022,6
60068,Hes going to fly that jet and shoot down global warming,2022-06-30 23:26:04+00:00,2022,6
60069,,2022-06-30 23:25:43+00:00,2022,6
60070,Quadding down will still give you nothing,2022-06-30 23:24:59+00:00,2022,6
60071,m dealing with a global warming cultist,2022-06-30 23:24:55+00:00,2022,6
60072,Nothing America does even going to 0 carbon emissions will make a difference with China and Indias current environmental policies They basically have none,2022-06-30 23:24:46+00:00,2022,6
60073,Ill have to put up my global warming decorations again station,2022-06-30 23:24:43+00:00,2022,6
60074,The Climate Changes nothing new Not preparing for Climate change is NEW Storing water clearing brush to avoid fires recycling things that hurt our environment We stopped doing all the common sense stuff to push global warming lies,2022-06-30 23:24:18+00:00,2022,6
60075,Since 1880 the average temp of the earth has raised 14 degrees That pretty much puts the global warming theory to rest,2022-06-30 23:23:25+00:00,2022,6
60076,but the coal companies that contribute money to you will be happy,2022-06-30 23:23:10+00:00,2022,6
60077,was destroyed by global warming,2022-06-30 23:22:35+00:00,2022,6
60078,,2022-06-30 23:22:25+00:00,2022,6
60079,Global warming was changed to climate change because it still gets cold outside as an example AOC claims the world has 11 years left etc The world will end when the sun burns out in 100 million years,2022-06-30 23:22:18+00:00,2022,6
60080,t forget global warming Its rebranded about every 10 yrs Same crap thoughjust a grift to get your money,2022-06-30 23:21:53+00:00,2022,6
60081,dissing global warming spreading hate of others all things republicans stand for Unfortunately in those areas Cheney is another typical republican,2022-06-30 23:21:08+00:00,2022,6
60082,Its the global warming climate change coming to get us After all its never been warm beforeJust sayin,2022-06-30 23:20:47+00:00,2022,6
60083,is this Global Warming,2022-06-30 23:20:01+00:00,2022,6
60084,Just a reminder that capitalism is the cause of our poverty23k billionaires8Billion people micro plastics all over the planet including in womens placenta and our blood global warming and the global rise of fascism Thanks billionaires and corporations,2022-06-30 23:18:32+00:00,2022,6
60085,Global warming is an expensive hoax GooGoo GaGa Twump was my first word,2022-06-30 23:18:21+00:00,2022,6
60086,Instead of killing the cows to reduce global warming how about reducing the work week to 4 days a week amp 5 hours a dayYou hire more people to maintain full employment and pay people a little bit less and instead of 2 inflation target 2 deflationEquity gt debt Yes,2022-06-30 23:17:40+00:00,2022,6
60087,t anymore,2022-06-30 23:14:02+00:00,2022,6
60088,The most populated countries in the world have little to no emission restrictions,2022-06-30 23:13:28+00:00,2022,6
60089,What the hell,2022-06-30 23:13:02+00:00,2022,6
60090,In its 63 ruling the Supreme Court said the Clean Air Act doesnt give EPA the authority to regulate greenhouse gas emissions from power plants that contribute to global warming,2022-06-30 23:12:36+00:00,2022,6
60091,the epa obviously cant save humanity,2022-06-30 23:12:33+00:00,2022,6
60092,t care about global warming if they cannot put food on the table and gas in the tank And doing both is getting harder every day,2022-06-30 23:12:30+00:00,2022,6
60093,why my man mumbles at your house,2022-06-30 23:12:29+00:00,2022,6
60094,denial of global warming should count as idiosyncratic Republican lunacy,2022-06-30 23:12:15+00:00,2022,6
60095,,2022-06-30 23:11:53+00:00,2022,6
60096,Thats unheard of Must be global warming LOL,2022-06-30 23:11:29+00:00,2022,6
60097,,2022-06-30 23:11:26+00:00,2022,6
60098,Now the US Supreme Court has made it illegal to stop industries emitting greenhouse gases Makes you wonder about whether our great friend is a true democracy An unelected body has banned the right of women to control their own bodies and now wants to ensure global warming,2022-06-30 23:11:22+00:00,2022,6
60099,,2022-06-30 23:11:03+00:00,2022,6
60100,films on conservation and global warming will be banned DontSaySmog,2022-06-30 23:10:43+00:00,2022,6
60101,heres the problem with a SCOTUS Justice even mentioning that in a dissent Its not SCOTUSs job to save me from Global warming Their entire job is 2fold 1 Protect and uphold the Constitution 2 Resolve disputes between the Legislative and Executive branch Thats it,2022-06-30 23:10:38+00:00,2022,6
60102,I spoke with a glaciologist asked his take on global warming Its both cycles and pollution but its not happening as fast as these nut jobs say its going,2022-06-30 23:09:29+00:00,2022,6
60103,Do executive power or something nothing else matters if we do not curb global warming NOW,2022-06-30 23:09:20+00:00,2022,6
60104,Its funny how the future liberals want is just for people to have rights and for children to grow up in a world without global warming and people are AGAINST that,2022-06-30 23:08:03+00:00,2022,6
60105,ve come halfway to the logical side Jessica Next step is for you to realize that anthropogenic global warming is the biggest scam thrust upon humanity in 100 years,2022-06-30 23:07:13+00:00,2022,6
60106,These things happen along with global warming Dont freak out people,2022-06-30 23:06:22+00:00,2022,6
60107,you personally bear a great deal of responsibility You opened up the arctic for drilling twice Youve bragged about how much oil was extracted in your presidency You supported and pushed frackingA significant of global warming is because of YOU wild huh,2022-06-30 23:05:45+00:00,2022,6
60108,t like breathing Overrated I say Im sure you think global warming is just god hugging you closer,2022-06-30 23:05:35+00:00,2022,6
60109,My fingers are more than me believe me we need global warming Ive said if Ivanka werent my office and my enemies tell,2022-06-30 23:05:14+00:00,2022,6
60110,global warming from atmospheric carbon dioxide was first predicted in 1896 by Svante Arrhenius CO2 has been warming the planet since at least 1850,2022-06-30 23:05:14+00:00,2022,6
60111,Or still climate change,2022-06-30 23:04:37+00:00,2022,6
60112,Harry is professing his love for the dangers of global warming constantly,2022-06-30 23:04:28+00:00,2022,6
60113,while contributing to global warming instead of taking positive action,2022-06-30 23:03:57+00:00,2022,6
60114,,2022-06-30 23:03:31+00:00,2022,6
60115,Reportedly the number one concern of our youth is global warming protecting our environmentElderly SCOTUS goes along with selfish commerce not the kidsMining anyway will be performed roboticallyPut that in your pipe rightwing parents,2022-06-30 23:03:30+00:00,2022,6
60116,why do you want more global warming,2022-06-30 23:02:21+00:00,2022,6
60117,Why do you think the scam was renamed from global warming to climate change Do u really think if Obama believed his own BS he would have bought a beach front mansion,2022-06-30 23:01:57+00:00,2022,6
60118,did you know that global warming extremely massive,2022-06-30 23:00:53+00:00,2022,6
60119,bad weatherbad crops Hard to get your head around living in harmony with your environment I know but in the words of George Carlin Earth will be fine people well people are fucked,2022-06-30 22:59:57+00:00,2022,6
60120,The Supreme Courts decision on Global warming is disappointing the should E no room for politics partisan or bipartisanin a court system Washington and the idiots who supposedly represent US are useless as tits on a Ill,2022-06-30 22:59:23+00:00,2022,6
60121,The world used to be covered in ice then it all melted before humans roamed the earth Do we consider that event global warming,2022-06-30 22:59:17+00:00,2022,6
60122,The world used to be covered in ice then it all melted before humans roamed the earth Do we consider that event global warming,2022-06-30 22:58:36+00:00,2022,6
60123,the supreme court has weakened gun laws eliminated federal prochoice protections and promoted global warming hastening the heating of the planet Whats next,2022-06-30 22:58:30+00:00,2022,6
60124,whos not equivalent and an Antonym to BCbut wouldnt that be AC This is the hottestsummer of them all What if the heat isnt global warming What if the unnatural heat is vss365 poetry spiritualawakening writer,2022-06-30 22:58:24+00:00,2022,6
60125,t understand global warming,2022-06-30 22:56:40+00:00,2022,6
60126,Victory for you Sorry Earth you lose again,2022-06-30 22:55:50+00:00,2022,6
60127,America produces energy cleanly Stop trying to solve global warming on the backs of Americans 784 for a gallon of gas in Northern California is a gas tax from overtaxation From the Not to mention a 97500000000 surplus Yeah 975 b,2022-06-30 22:55:43+00:00,2022,6
60128,,2022-06-30 22:54:20+00:00,2022,6
60129,,2022-06-30 22:54:17+00:00,2022,6
60130,Its a warm day today Its not global warming its Summer its supposed to be warm That said drink plenty of water electrolytes avoid caffeinated and or sugary drinks Check on your neighbors to see how they are doing,2022-06-30 22:54:15+00:00,2022,6
60131,Oh thats right there is no global warming its a hoax,2022-06-30 22:54:14+00:00,2022,6
60132,DAMN REPUBLICAN NAZIIS,2022-06-30 22:53:56+00:00,2022,6
60133,but by far the biggest threat to them are boat strikes not global warming,2022-06-30 22:53:38+00:00,2022,6
60134,Its 750 am and 28 We Japanese are dead financially and dead by the global warming,2022-06-30 22:53:25+00:00,2022,6
60135,climate change which was called global warming for decades Its a money laundering scam,2022-06-30 22:53:21+00:00,2022,6
60136,global warming has made unlivable and what displaced people came from there,2022-06-30 22:52:59+00:00,2022,6
60137,12 Oh have I mentioned it yet The Repub led SCOTUS has now taken power away from the EPA We are being devastated by global warming amp it will get worse sooner than later due to the incompetent Repub led SCOTUS They are making horrific changes to safety regulations daily,2022-06-30 22:51:00+00:00,2022,6
60138,were always on the brink of natural disaster,2022-06-30 22:50:50+00:00,2022,6
60139,Youre evidently not on on the OuterBanks of North Carolina where beach homes are being washed away or in the Artic Waterways which never existed until now,2022-06-30 22:50:16+00:00,2022,6
60140,C19 The war in Ukraine Scotlands failure to qualify for the World Cup Andy Murray getting knocked out of Wimbledon All WMs fault according to Shows what a side show she is,2022-06-30 22:49:52+00:00,2022,6
60141,doubtfulThats a CFR 0011Less that the fake flu numbers we get every year Dude they are making this shit up on the fly They feed the numbers into the same computer model they use for Global Warming People unfortunately die every day,2022-06-30 22:49:46+00:00,2022,6
60142,the data says that things may cause a displacement of literal billions of people along with millions of natural disaster deaths Go take your meds,2022-06-30 22:49:46+00:00,2022,6
60143,The Supreme Court has now dealt a huge blow to the fight against climate change by ruling 63 that the Clean Air Act does not give the Environmental Protection Agency EPA broad authority to regulate greenhouse gas emissions from power plants that contribute to global warming,2022-06-30 22:48:38+00:00,2022,6
60144,Get up soldier Global warming is a real threat to our communities to everybody to everything Being stupid should be a crime,2022-06-30 22:48:22+00:00,2022,6
60145,s called Armageddon not global warming,2022-06-30 22:48:19+00:00,2022,6
60146,t go under water fast enough Probably the only good thing about global warming,2022-06-30 22:47:51+00:00,2022,6
60147,,2022-06-30 22:47:36+00:00,2022,6
60148,wilde fires draught and hurricanes,2022-06-30 22:47:23+00:00,2022,6
60149,that contribute to global warmingThe Global Warming Cult will be stopped with Science,2022-06-30 22:47:08+00:00,2022,6
60150,close pass kill and injury pedestrians horse riders and cyclists Then spout nonsense about cyclists not paying car taxwhen all roads are paid for out general taxation Pollute the air so asthmatics cannot breathe Contribute to global warming,2022-06-30 22:46:41+00:00,2022,6
60151,made climate change and global warming is a farce and the sea level isnt rising These are lies Green energy causes more pollution but it brings money,2022-06-30 22:46:40+00:00,2022,6
60152,m helping with climate changeI eat beef beef comes from cows and cows fart Cow farts are methane and contribute to global warming Chickenssame thing chicken shit contains urea harmful so I eat chicken and you dont want me to get started on pigs,2022-06-30 22:45:58+00:00,2022,6
60153,Keep the past the future is ours Man made natural disaster Blocking out all of the sun,2022-06-30 22:44:55+00:00,2022,6
60154,actions dont have any responsibility for any climate changes andor phenomenons,2022-06-30 22:44:38+00:00,2022,6
60155,Global Warming into overdrive in the 2030s,2022-06-30 22:44:31+00:00,2022,6
60156,,2022-06-30 22:44:12+00:00,2022,6
60157,,2022-06-30 22:42:41+00:00,2022,6
60158,Its a green house gas that contributes to global warming Clean air act does not cover that,2022-06-30 22:42:40+00:00,2022,6
60159,,2022-06-30 22:42:35+00:00,2022,6
60160,000 scientists have signed a petition saying humans arent causing global warming More than 1000 scientists signed another report saying there is no global warming at all You should stop consuming so much fake news,2022-06-30 22:42:19+00:00,2022,6
60161,mon JudgeHow many times have we heard this nonsense We were supposed to be dead 20 years ago from Global Warming Its a crock amp its embarrassing that a SC judge is such a Patsi for the Global Climate Change extortion racket,2022-06-30 22:42:18+00:00,2022,6
60162,Then they started talking about global warming then had to change the term to climate change Things dont always work out the way you want them to,2022-06-30 22:41:35+00:00,2022,6
60163,All I am asking is that this long weekend not be stopped for me by either getting COVID or a natural disaster If I dont leave the house then I dont have to deal with Canada Day shit heads,2022-06-30 22:41:21+00:00,2022,6
60164,Good morning heres todays reminder that the UN has warned we cant open up new coal gas or oil fields if were to limit global warming to 15 degrees amp International Energy Agency says same This should be in every story about new projects like s Burrup Hub,2022-06-30 22:40:49+00:00,2022,6
60165,s why its climate change instead of global warming or global icing Because its natural,2022-06-30 22:39:53+00:00,2022,6
60166,The earth has been naturally warming aince the last ice age Until we have a natural disaster that blots out the sun it will continue It has nothing to do with fossil fuel Its a natural processclimatesheeple,2022-06-30 22:39:33+00:00,2022,6
60167,I love it Not because its cold but because its put a spanner in the global warming propaganda works,2022-06-30 22:38:31+00:00,2022,6
60168,Your presence makes my day worse Only by planting trees we will be able to overcome global warming Dont forget Im superior,2022-06-30 22:38:09+00:00,2022,6
60169,,2022-06-30 22:37:56+00:00,2022,6
60170,13c at nightttt fuck global warming fr,2022-06-30 22:35:53+00:00,2022,6
60171,science and antiglobal warming,2022-06-30 22:35:43+00:00,2022,6
60172,Unchecked air pollution More global warming more global warming,2022-06-30 22:35:08+00:00,2022,6
60173,Thought we were gonna freeze to death 20 years agosure Your deep state isnt after your money and more control,2022-06-30 22:35:06+00:00,2022,6
60174,s getting biggerI wouldnt mind spending late July and August in Australia Global Warming is making even Vermont unbearable,2022-06-30 22:34:55+00:00,2022,6
60175,Global warming is high lekin dil ki garmi around her is higher,2022-06-30 22:34:45+00:00,2022,6
60176,,2022-06-30 22:34:32+00:00,2022,6
60177,Lester Holt the Supreme Court ruling on limiting the EPA influence on global warming is not a set back to Biden it is a set back for humanity Grow some balls,2022-06-30 22:34:01+00:00,2022,6
60178,Famine is happening nowthe loss of productivity of farmland due to increased droughts and natural disasters due to global warming is a growing factorYou are caring about hungry people hm Really Do you eat meat,2022-06-30 22:33:54+00:00,2022,6
60179,fossil power generation causes 1000 deaths PER DAY along w global warming So by your definition fossil power gen causes a humanitarian disaster every single day Versus once every several decades for nuclear 22,2022-06-30 22:32:10+00:00,2022,6
60180,the primary argument for voting for democrats as the lesser evil was bc they unlike republicans believe global warming presents an existential threat to humanity if they just sit by and let the supreme court destroy the EPA and any regulation all that is meaningless,2022-06-30 22:31:44+00:00,2022,6
60181,then push the moon away a little more and problem fixed Side benefit of longer days and nights which might help,2022-06-30 22:31:32+00:00,2022,6
60182,climate change and the Green New Deal all of it is a farce You cant destroy the Earth the Earth is alive and it will always reproduce itself The only person that can destroy the Earth is God not man,2022-06-30 22:30:57+00:00,2022,6
60183,instead you have people moving to Marthas Vineyard,2022-06-30 22:30:54+00:00,2022,6
60184,but part of it is due to global warming I think,2022-06-30 22:30:36+00:00,2022,6
60185,Venus planet of love was destroyed by global warming,2022-06-30 22:30:00+00:00,2022,6
60186,were currently at war with Russia right now and youre tweeting about global warming Ive pulled my son from school to prepare for the United States Conscription draft We waived his football scholarship to USC to focus on getting America where it needs to be,2022-06-30 22:28:06+00:00,2022,6
60187,Violent crime has been dropping since the early 90s directly coinciding with the increase in guns 2 SC only gave the power back to the states so people can vote on it locally 3 The planet is starting to cool which is why global warming was rebranded to climate change,2022-06-30 22:27:43+00:00,2022,6
60188,ve been in snow twice in my life Keep it Global warming come in clutch out here in the winter Shorts and Tees everyday,2022-06-30 22:27:41+00:00,2022,6
60189,s no such thing as climate change Thats a myth that has been perpetrated since the early 60s we used to call it global warming and the world was supposed to end at midnight on the year 2000 and then it was supposed to be year 2012 now I think we have 10 years left,2022-06-30 22:26:57+00:00,2022,6
60190,Horrific poorly managed state forests for decades Wildfires always been here for thousands of years Not climate change Weather and fire is NOT global warming Gov Brown made it students do not need to read nor write to graduate high school See why,2022-06-30 22:25:23+00:00,2022,6
60191,t you calling it Global Warming Nice word play Btw its a total sham,2022-06-30 22:25:17+00:00,2022,6
60192,Im just thinking to myself right now we need global warming Ive said if Hillary Clinton were a thin person drinking Diet,2022-06-30 22:25:14+00:00,2022,6
60193,The gop will accept all the cash from oil companies and coal plants and they will never change the law but let global warming keep increasing droughts in the Western US,2022-06-30 22:23:41+00:00,2022,6
60194,Theres ZERO chance we can stop global warming if we couldnt even get the world to wear a piece of tissue on their face during a pandemic,2022-06-30 22:23:40+00:00,2022,6
60195,Check out aridificationAnd while youre complaining and not DOING anything per usual consider your reflexive contrarian stance on global warming Because its going to get worse Read some things With an open mind,2022-06-30 22:22:28+00:00,2022,6
60196,Itsprobably more a stubborn and adamant denial of Man made Global Warming and the Climate Crisis The right wing is carazy this way now Its not about students and studies and getting to class the day after a game on the other side of the continent Bad idea,2022-06-30 22:22:15+00:00,2022,6
60197,CO kills Ozone while CO2 more directly contributes to global warmingSorry still trying to learn about this,2022-06-30 22:21:55+00:00,2022,6
60198,Yes Manbearpig is going to kill us all but hes going to kill you firstSo theyre still walking it back,2022-06-30 22:20:56+00:00,2022,6
60199,,2022-06-30 22:20:39+00:00,2022,6
60200,mobile air purification is perfect as the action plan on the short term but also long termPurification gt less ventilation needed gt less cold air to be heated gt enormous energy savings global warming compatible,2022-06-30 22:20:26+00:00,2022,6
60201,global warming for decades with zero evidence You bought it anyway lmao,2022-06-30 22:19:10+00:00,2022,6
60202,Its the way they look at us you know Like they see right through us or something,2022-06-30 22:18:52+00:00,2022,6
60203,Truth is the climate has ALWAYS been changingThey had to rename it from global warming to climate change because the data didnt support itLOL,2022-06-30 22:17:57+00:00,2022,6
60204,IP,2022-06-30 22:17:20+00:00,2022,6
60205,At the current rate of global warming Utah is projected to run out of water in 25 years but pledges to vote for climate science denying Republicans till the very last drop,2022-06-30 22:17:08+00:00,2022,6
60206,s a lie Global warming is as fake as Bidens presidency,2022-06-30 22:16:22+00:00,2022,6
60207,re trying to blame Johnny for everything next itll be global warming thats all 100 his fault,2022-06-30 22:16:21+00:00,2022,6
60208,,2022-06-30 22:16:16+00:00,2022,6
60209,,2022-06-30 22:16:10+00:00,2022,6
60210,Show me anyone who can predict the weather accurately They had to change the name from global warming to climate change becauseit wasnt really accurate due to the fluctuations in the weather Weather fluctuations have been going on for centuries,2022-06-30 22:15:46+00:00,2022,6
60211,For a long time the Earth has been buffering us from the worst of global warming That only last so long In the next phase the Earth will start working against us amplifying the effects of heating,2022-06-30 22:15:32+00:00,2022,6
60212,s not a put down to state the fact that millions of people with no scientific education or training think they understand global warming better than expertsauthorities because Limbaugh taught them to be suspiciouscontemptuous of people who think theyre smarter than you,2022-06-30 22:15:28+00:00,2022,6
60213,Here is California we experienced massive wild fires Its called poor forest management Not global warming,2022-06-30 22:14:07+00:00,2022,6
60214,the lakesrivers will freezeGlobal warming the oceans will rise and flood the coastal areasClimate change when the first two dont pan out,2022-06-30 22:13:36+00:00,2022,6
60215,As room temperature increases due to global warming what chemical elements if any will no longer be stable in our natural environment,2022-06-30 22:13:33+00:00,2022,6
